Date,Open,High,Low,Close,Volume,Currency
2021-04-19,90631.76,92137.62,90386.62,90946.94,9477,CLP
2021-04-19,107.5055,109.2917,107.2147,107.8794,9477,EUR
2021-04-19,129.4,131.55,129.05,129.85,9477,USD
2021-04-20,724.2094,740.3587,723.3741,737.5743,11447,BRL
2021-04-20,90566.82,92586.38,90462.36,92238.18,11447,CLP
2021-04-20,108.0455,110.4549,107.9209,110.0395,11447,EUR
2021-04-20,130.05,132.95,129.9,132.45,11447,USD
2021-04-21,738.7278,742.6261,727.5899,736.2218,11569,BRL
2021-04-21,92569.8025,93058.2975,91174.1025,92255.77,11569,CLP
2021-04-21,110.2056,110.7872,108.544,109.8318,11569,EUR
2021-04-21,132.65,133.35,130.65,132.2,11569,USD
2021-04-22,723.6139,732.3256,707.824,731.2366,243,BRL
2021-04-22,93897.837,95028.285,91848.9,94886.979,243,CLP
2021-04-22,110.5994,111.9309,108.186,111.7645,243,EUR
2021-04-22,132.9,134.5,130.0,134.3,243,USD
2021-04-23,738.3172,758.3014,738.3172,749.2674,61,BRL
2021-04-23,96161.535,98764.35,96161.535,97587.735,61,CLP
2021-04-23,111.44,114.4564,111.44,113.0928,61,EUR
2021-04-23,134.85,138.5,134.85,136.85,61,USD
2021-04-26,742.8841,773.8715,742.0686,770.6097,33,BRL
2021-04-26,96304.0875,100321.1625,96198.375,99898.3125,33,CLP
2021-04-26,113.0915,117.8089,112.9674,117.3123,33,EUR
2021-04-26,136.65,142.35,136.5,141.75,33,USD
2021-04-27,776.21,787.3805,776.21,786.5631,8,BRL
2021-04-27,99914.43,101352.3,99914.43,101247.09,8,CLP
2021-04-27,117.7919,119.487,117.7919,119.363,8,EUR
2021-04-27,142.45,144.5,142.45,144.35,8,USD
2021-04-28,769.392,774.4678,760.8432,770.9949,12,BRL
2021-04-28,100213.92,100875.0535,99100.432,100422.699,12,CLP
2021-04-28,118.7424,119.5258,117.423,118.9898,12,EUR
2021-04-28,144.0,144.95,142.4,144.3,12,USD
2021-04-29,778.2075,778.2075,754.4556,754.7225,21,BRL
