"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"27.12.2022","867,40","878,50","882,85","867,72","7,00K","-1,08%"
"26.12.2022","876,90","878,35","885,50","872,75","3,14K","-0,07%"
"23.12.2022","877,55","871,35","882,70","868,45","5,51K","0,89%"
"22.12.2022","869,78","871,25","874,33","862,72","6,77K","-0,12%"
"21.12.2022","870,80","886,30","887,59","867,95","9,49K","-1,60%"
"20.12.2022","884,93","889,20","893,72","883,57","9,52K","-0,49%"
"19.12.2022","889,25","886,50","892,91","883,89","6,40K","0,45%"
"16.12.2022","885,26","878,55","894,09","875,60","7,22K","0,89%"
"15.12.2022","877,45","871,15","882,77","870,35","11,05K","0,85%"
"14.12.2022","870,05","857,29","877,00","853,67","11,31K","1,65%"
"13.12.2022","855,92","867,25","872,80","848,61","9,72K","-1,30%"
"12.12.2022","867,16","861,88","868,60","850,77","9,87K","0,74%"
"09.12.2022","860,78","864,00","864,58","854,47","7,50K","-0,29%"
"08.12.2022","863,27","866,90","867,42","863,15","0,73K","-0,29%"
"07.12.2022","865,80","879,25","889,33","864,39","8,67K","-1,34%"
"06.12.2022","877,60","896,13","897,40","872,97","4,49K","-1,93%"
"05.12.2022","894,89","883,50","896,52","879,52","3,63K","1,43%"
"02.12.2022","882,26","879,60","888,72","875,09","7,92K","0,46%"
"01.12.2022","878,23","890,50","891,78","876,70","9,67K","-1,19%"
"30.11.2022","888,85","901,05","903,25","889,50","3,84K","-1,25%"
"29.11.2022","900,10","913,45","913,45","898,92","7,91K","-1,36%"
"28.11.2022","912,50","922,23","926,85","910,39","6,85K","-0,88%"
"25.11.2022","920,58","910,35","924,10","909,69","2,15K","1,25%"
"24.11.2022","909,25","916,45","916,45","905,97","1,17K","-0,67%"
"23.11.2022","915,35","926,50","930,63","914,42","7,74K","-1,16%"
"22.11.2022","926,05","942,10","944,95","926,16","7,36K","-1,66%"
"21.11.2022","941,65","947,75","956,75","939,13","6,18K","0,19%"
"18.11.2022","939,87","921,70","942,53","919,90","7,48K","2,02%"
"17.11.2022","921,25","912,25","928,10","912,13","9,38K","1,11%"
